sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
881,板橋區,時光公園,25.03622,121.47948,20.0,2.1,4.5,0.0,2.1,8.9
882,板橋區,望月公園,25.02997,121.45787,32.0,0.2,7.8,0.0,5.8,0.4
883,板橋區,松柏街15巷口,25.0296,121.4742,20.0,9.4,8.9,2.0,0.0,14.8
884,板橋區,松柏街50巷90弄口,25.02833,121.47621,12.0,3.9,5.8,0.0,0.0,1.1
885,板橋區,板新中山路一段口,25.01491,121.47161,15.0,8.6,7.3,2.6,0.0,3.2
886,板橋區,板林溪北路口,24.99057,121.42636,57.0,28.4,28.9,3.7,0.0,1.6
887,板橋區,板樹體育館,24.9822,121.42758,15.0,2.4,5.3,0.0,2.6,4.7
888,板橋區,板橋435藝文特區,25.02396,121.45269,18.0,2.2,2.7,0.0,0.0,12.4
889,板橋區,板橋435藝文特區(環河西路),25.02473,121.4506,12.0,1.9,5.2,0.0,3.0,3.4
890,板橋區,板橋中山公園,25.02336,121.47109,34.0,11.2,11.1,1.8,0.0,4.1
891,板橋區,板橋仁愛公園,24.99601,121.45971,51.0,4.8,7.8,0.0,0.0,3.5
892,板橋區,板橋信義公園,24.99625,121.45622,55.0,7.4,8.5,0.0,0.0,5.1
893,板橋區,板橋公車站,25.01269,121.4621,60.0,17.6,18.7,1.5,0.0,13.3
894,板橋區,板橋和平公園,24.99766,121.46427,54.0,2.8,3.8,0.0,0.0,5.5
895,板橋區,板橋四維公園,25.02452,121.46319,67.0,12.1,16.6,0.0,0.0,0.0
896,板橋區,板橋國中,25.02499,121.45437,62.0,3.6,3.8,0.4,0.0,13.0
897,板橋區,板橋國小,25.01035,121.45799,18.0,5.2,4.8,1.2,0.0,11.0
898,板橋區,板橋國民運動中心,25.02224,121.45815,42.0,8.0,9.8,0.0,0.0,3.5
899,板橋區,板橋地政事務所,25.00841,121.46333,61.0,7.5,11.9,0.0,0.0,0.7
900,板橋區,板橋戶政事務所,25.01309,121.45646,44.0,23.1,16.2,10.4,0.0,0.1
901,板橋區,板橋戶政事務所海山辦事處,25.01182,121.47038,50.0,1.4,2.0,0.0,0.0,17.2
902,板橋區,板橋果菜批發市場,25.02113,121.45004,26.0,1.4,8.9,0.0,6.9,0.1
903,板橋區,板橋真武廟,25.02046,121.48594,20.0,2.2,7.6,0.0,5.2,1.4
904,板橋區,板橋福德公園,25.01156,121.46734,47.0,12.0,9.3,4.5,0.0,11.3
905,板橋區,板橋第一運動場,25.00914,121.46799,46.0,4.1,5.4,0.0,0.0,8.5
906,板橋區,板橋第二運動場(皇翔建設),25.01387,121.45897,32.0,8.9,10.3,0.0,0.0,0.8
907,板橋區,板橋車站,25.015518,121.46374,95.0,50.7,53.0,5.4,0.0,8.6
